,name,Rank,UNITID
0,Colorado School of Mines,130,126775
1,Temple University,133,216339
2,University of Central Florida,135,132903
3,University of Nebraska Medical Center,136,181428
4,George Mason University,140,232186
5,University of Denver,142,127060
6,University of Arkansas for Medical Sciences,143,106263
7,Loyola University Chicago,144,146719
8,West Virginia University,145,238032
9,University of Dayton,147,202480
10,Syracuse University,150,196413
11,University of Wyoming,151,240727
12,University of Oklahoma Health Sciences Center,153,207342
13,Illinois Institute of Technology,154,145725
14,Clemson University,155,217882
15,University of Hawaii at Manoa,156,141574
16,"University of Maryland, Baltimore County",158,163268
17,Creighton University,159,181002
18,Georgia State University,160,139940
19,SUNY Downstate Medical Center,162,196255
20,New York Medical College,166,193830
21,Auburn University,167,100858
22,Utah State University,171,230728
23,Baylor University,172,223232
24,Southern Illinois University Carbondale,175,149222
25,University of Alaska Fairbanks,176,102614
26,University of Toledo,177,206084
27,Florida International University,179,133951
28,University of Rhode Island,180,217484
29,Mississippi State University,181,176080
30,University of New Orleans,182,159939
31,Louisiana Tech University,184,159647
32,Northern Illinois University,187,147703
33,Albany Medical College,189,188580
34,University of Idaho,190,142285
35,Old Dominion University,191,232982
36,Portland State University,192,209807
37,Loma Linda University,193,117636
38,Rochester Institute of Technology,196,195003
39,San Francisco State University,197,122597
40,Marquette University,198,239105
41,Missouri University of Science and Technology,199,178411
42,Howard University,200,131520
43,University of Memphis,202,220862
44,University of Alabama in Huntsville,204,100706
45,New Jersey Institute of Technology,206,185828
46,East Carolina University,207,198464
47,Northern Arizona University,208,105330
48,Michigan Technological University,210,171128
49,North Dakota State University - Main Campus,211,200332
50,University of North Carolina at Charlotte,212,199139
51,Florida Institute of Technology,214,133881
52,University of Massachusetts Boston,215,166638
53,Clarkson University,218,190044
54,University of South Alabama,219,102094
55,Florida Atlantic University,221,133669
56,University of Massachusetts Lowell,222,166513
57,University of North Carolina at Greensboro,224,199148
58,University of Southern Mississippi,225,176372
59,Oakland University,226,171571
60,University of North Dakota,227,200280
