Date,All,For Profit,Not For Profit,Public
2000-01-05,-0.054948002786844086,-0.04599393721202816,-0.09204758475900121,0.022788559289541155
2001-01-03,-0.01465466054055753,-0.06882227906731231,0.021090450023653062,0.003153857383249914
2002-01-02,0.24820272371683316,0.25937244465235665,0.17689955734528695,0.36071661342993977
2003-01-01,-0.05682827305676952,-0.04621143469136868,-0.03864121859314196,-0.12069069128245502
2004-01-07,0.05779576283914878,0.06731470281853191,0.03697937760787795,0.13750393850351728
2005-01-05,0.02400445484563818,0.020458353343702385,0.035114127857969635,-0.07412381051416972
2006-01-04,0.061827099530162855,0.05228782842469215,0.04499530548809716,0.08494922144502581
2007-01-03,0.2022450634554076,0.22498994534611683,0.1615848939726412,0.24897112406582522
2008-01-02,0.2176995272965847,0.23646324509796202,0.17803758804699754,0.24310781544574311
2009-01-07,0.08396316993219344,0.1479657852160834,0.005771989331581295,0.12360451707870723
2010-01-06,-0.014933609211844612,0.050235386907679924,0.013639785230566304,-0.19516495193786199
2011-01-05,0.005873730987669745,0.08156340743885337,-0.0239481321250139,-0.1635789540383925
2012-01-04,-0.04407741381353958,-0.025722275254235427,-0.0057268240200478715,-0.18137631168236013
2013-01-02,-0.020064661490394542,-0.037122817850679724,-0.01529010076292181,-0.030874399054859225
2014-01-01,-0.026966715674866748,-0.011358127829428355,-0.004973296527303717,-0.14819582876139847
2015-01-07,-0.04792891573744029,-0.028887489320844395,-0.040995418931252914,-0.08111087028163055
